item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
당근,232,무세척(1kg),1,중품,5,1kg,당일 (01/03),"2,982",1일전 (01/02),"2,982",1주일전 (12/27),"2,957",2주일전 (12/20),"3,016",1개월전,"3,391",1년전,"2,316",일평년,"2,755",2023-01-03
열무,233,열무(1kg),0,상품,4,1kg,당일 (01/03),"2,980",1일전 (01/02),"2,951",1주일전 (12/27),"2,925",2주일전 (12/20),"2,930",1개월전,"2,748",1년전,"4,505",일평년,"2,306",2023-01-03
건고추,241,화건(600g),0,상품,4,600g,당일 (01/03),"16,366",1일전 (01/02),"16,366",1주일전 (12/27),"16,342",2주일전 (12/20),"16,345",1개월전,"16,584",1년전,"13,347",일평년,"17,417",2023-01-03
건고추,241,양건(~23.5)(600g),2,상품,4,600g,당일 (01/03),"18,727",1일전 (01/02),"18,727",1주일전 (12/27),"18,727",2주일전 (12/20),"18,727",1개월전,"18,727",1년전,"17,208",일평년,"18,768",2023-01-03
풋고추,242,풋고추(녹광 등)(100g),0,상품,4,100g,당일 (01/03),"1,257",1일전 (01/02),"1,214",1주일전 (12/27),"1,079",2주일전 (12/20),"1,112",1개월전,"1,143",1년전,997,일평년,912,2023-01-03
풋고추,242,꽈리고추(100g),2,상품,4,100g,당일 (01/03),"1,547",1일전 (01/02),"1,553",1주일전 (12/27),"1,504",2주일전 (12/20),"1,472",1개월전,"1,019",1년전,"1,453",일평년,"1,215",2023-01-03
풋고추,242,꽈리고추(100g),2,중품,5,100g,당일 (01/03),975,1일전 (01/02),958,1주일전 (12/27),941,2주일전 (12/20),885,1개월전,709,1년전,928,일평년,797,2023-01-03
풋고추,242,청양고추(100g),3,상품,4,100g,당일 (01/03),"1,404",1일전 (01/02),"1,397",1주일전 (12/27),"1,180",2주일전 (12/20),"1,038",1개월전,980,1년전,963,일평년,935,2023-01-03
풋고추,242,청양고추(100g),3,중품,5,100g,당일 (01/03),911,1일전 (01/02),895,1주일전 (12/27),805,2주일전 (12/20),728,1개월전,662,1년전,720,일평년,711,2023-01-03
풋고추,242,오이맛고추(100g),4,상품,4,100g,당일 (01/03),"1,054",1일전 (01/02),"1,050",1주일전 (12/27),924,2주일전 (12/20),862,1개월전,821,1년전,-,일평년,-,2023-01-03
붉은고추,243,붉은고추(100g),0,상품,4,100g,당일 (01/03),"2,097",1일전 (01/02),"2,097",1주일전 (12/27),"1,923",2주일전 (12/20),"1,833",1개월전,"1,562",1년전,"1,587",일평년,"1,557",2023-01-03
붉은고추,243,붉은고추(100g),0,중품,5,100g,당일 (01/03),"1,050",1일전 (01/02),"1,059",1주일전 (12/27),"1,041",2주일전 (12/20),988,1개월전,921,1년전,795,일평년,935,2023-01-03
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/03),"2,932",1일전 (01/02),"2,935",1주일전 (12/27),"2,924",2주일전 (12/20),"2,876",1개월전,"2,792",1년전,"2,126",일평년,"1,957",2023-01-03
양파,245,양파(1kg),0,중품,5,1kg,당일 (01/03),"2,124",1일전 (01/02),"2,143",1주일전 (12/27),"2,046",2주일전 (12/20),"2,046",1개월전,"2,056",1년전,"1,580",일평년,"1,588",2023-01-03
파,246,대파(1kg),0,상품,4,1kg,당일 (01/03),"3,545",1일전 (01/02),"3,530",1주일전 (12/27),"3,312",2주일전 (12/20),"3,280",1개월전,"3,350",1년전,"2,781",일평년,"2,985",2023-01-03
파,246,대파(1kg),0,중품,5,1kg,당일 (01/03),"2,506",1일전 (01/02),"2,498",1주일전 (12/27),"2,288",2주일전 (12/20),"2,278",1개월전,"2,244",1년전,"1,969",일평년,"2,039",2023-01-03
파,246,쪽파(1kg),2,상품,4,1kg,당일 (01/03),"8,129",1일전 (01/02),"7,990",1주일전 (12/27),"6,824",2주일전 (12/20),"6,284",1개월전,"5,829",1년전,"7,496",일평년,"6,520",2023-01-03
파,246,쪽파(1kg),2,중품,5,1kg,당일 (01/03),"5,066",1일전 (01/02),"5,066",1주일전 (12/27),"4,932",2주일전 (12/20),"4,153",1개월전,"3,846",1년전,"5,497",일평년,"4,291",2023-01-03
