item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
물오징어,연근해(신선 냉장)(1마리),中,1마리,당일 (01/04),"7,189",1일전 (01/03),"7,097",1주일전 (12/28),"6,746",2주일전 (12/21),"7,244",1개월전,"7,255",1년전,-,일평년,-,2023-01-04,,,
물오징어,연근해(냉동)(1마리),中,1마리,당일 (01/04),"4,617",1일전 (01/03),"4,626",1주일전 (12/28),"4,654",2주일전 (12/21),"4,775",1개월전,"4,528",1년전,-,일평년,-,2023-01-04,,,
물오징어,연근해(냉동)(1마리),小,1마리,당일 (01/04),"3,569",1일전 (01/03),"3,569",1주일전 (12/28),"3,576",2주일전 (12/21),"3,558",1개월전,-,1년전,-,일평년,-,2023-01-04,,,
물오징어,원양(냉동)(1마리),中,1마리,당일 (01/04),-,1일전 (01/03),"4,208",1주일전 (12/28),"4,208",2주일전 (12/21),"4,120",1개월전,-,1년전,-,일평년,-,2023-01-04,,,
건멸치,건멸치(100g),중멸,100g,당일 (01/04),"2,613",1일전 (01/03),"2,613",1주일전 (12/28),"2,613",2주일전 (12/21),"2,615",1개월전,"2,563",1년전,"2,773",일평년,"2,696",2023-01-04,,,
건오징어,건오징어(10마리),중품,10마리,당일 (01/04),"67,960",1일전 (01/03),"68,000",1주일전 (12/28),"67,860",2주일전 (12/21),"67,716",1개월전,"65,872",1년전,"63,673",일평년,"55,657",2023-01-04,,,
김,마른김(10장),중품,10장,당일 (01/04),994,1일전 (01/03),994,1주일전 (12/28),994,2주일전 (12/21),994,1개월전,936,1년전,919,일평년,956,2023-01-04,,,
김,얼구운김(10장),중품,10장,당일 (01/04),"1,643",1일전 (01/03),"1,643",1주일전 (12/28),"1,643",2주일전 (12/21),"1,631",1개월전,"1,642",1년전,"1,648",일평년,"1,521",2023-01-04,,,
건미역,건미역(100g),상품,100g,당일 (01/04),"3,021",1일전 (01/03),"3,021",1주일전 (12/28),"3,021",2주일전 (12/21),"3,017",1개월전,"3,012",1년전,"2,898",일평년,"2,881",2023-01-04,,,
굴,굴(1kg),상품,1kg,당일 (01/04),"28,038",1일전 (01/03),"28,061",1주일전 (12/28),"28,469",2주일전 (12/21),"29,159",1개월전,"28,081",1년전,"26,447",일평년,"20,620",2023-01-04,,,
수입조기,부세수입(냉동)(1마리),중품,1마리,당일 (01/04),"3,878",1일전 (01/03),"3,878",1주일전 (12/28),"3,850",2주일전 (12/21),"3,833",1개월전,"3,901",1년전,"3,872",일평년,"4,158",2023-01-04,,,
새우젓,새우젓(1kg),상품,1kg,당일 (01/04),"17,643",1일전 (01/03),"17,643",1주일전 (12/28),"17,688",2주일전 (12/21),"17,610",1개월전,"17,013",1년전,"21,681",일평년,"20,721",2023-01-04,,,
멸치액젓,멸치액젓(1kg),상품,1kg,당일 (01/04),"5,509",1일전 (01/03),"5,484",1주일전 (12/28),"5,475",2주일전 (12/21),"5,475",1개월전,"5,052",1년전,"5,204",일평년,"4,741",2023-01-04,,,
굵은소금,굵은소금(5kg),상품,5kg,당일 (01/04),"11,960",1일전 (01/03),"11,960",1주일전 (12/28),"11,960",2주일전 (12/21),"11,960",1개월전,"12,012",1년전,"10,480",일평년,"7,633",2023-01-04,,,
전복,전복(5마리),중품,5마리,당일 (01/04),"17,449",1일전 (01/03),"17,449",1주일전 (12/28),"18,611",2주일전 (12/21),"17,961",1개월전,"16,721",1년전,"14,893",일평년,"15,720",2023-01-04,,,
새우,흰다리(수입)(10마리),중품,10마리,당일 (01/04),"4,793",1일전 (01/03),"4,793",1주일전 (12/28),"4,781",2주일전 (12/21),"4,799",1개월전,"4,700",1년전,"4,423",일평년,"4,653",2023-01-04,,,
고등어,국산(염장)(1마리),중품,2마리,당일 (01/05),"2,234",1일전 (01/04),"2,234",1주일전 (12/29),"2,191",2주일전 (12/22),"2,223",1개월전,"2,098",1년전,"1,893",일평년,"1,648",2023-01-05,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/05),"4,857",1일전 (01/04),"4,815",1주일전 (12/29),"4,861",2주일전 (12/22),"4,384",1개월전,"4,918",1년전,-,일평년,-,2023-01-05,,,
꽁치,냉동(수입)(5마리),중품,5마리,당일 (01/05),"6,873",1일전 (01/04),"6,922",1주일전 (12/29),"6,873",2주일전 (12/22),"6,898",1개월전,"6,737",1년전,"6,148",일평년,"3,991",2023-01-05,,,
갈치,국산(냉장)(1마리),中,1마리,당일 (01/05),"8,412",1일전 (01/04),"8,719",1주일전 (12/29),"8,655",2주일전 (12/22),"8,881",1개월전,"8,991",1년전,-,일평년,-,2023-01-05,,,
갈치,국산(냉장)(1마리),小,1마리,당일 (01/05),"4,934",1일전 (01/04),"5,023",1주일전 (12/29),"4,839",2주일전 (12/22),"4,794",1개월전,"4,916",1년전,-,일평년,-,2023-01-05,,,
갈치,국산(냉동)(1마리),中,1마리,당일 (01/05),"5,601",1일전 (01/04),"5,548",1주일전 (12/29),"6,199",2주일전 (12/22),"5,146",1개월전,"5,806",1년전,-,일평년,-,2023-01-05,,,
조기,참조기(냉동)(1마리),中,1마리,당일 (01/05),"1,365",1일전 (01/04),"1,498",1주일전 (12/29),"1,481",2주일전 (12/22),"1,253",1개월전,"1,338",1년전,-,일평년,-,2023-01-05,,,
조기,참조기(냉동)(1마리),小,1마리,당일 (01/05),-,1일전 (01/04),863,1주일전 (12/29),-,2주일전 (12/22),853,1개월전,780,1년전,-,일평년,-,2023-01-05,,,
명태,냉동(원양수입통합)(1마리),大,1마리,당일 (01/05),"3,608",1일전 (01/04),"3,744",1주일전 (12/29),"3,741",2주일전 (12/22),"3,753",1개월전,"3,495",1년전,-,일평년,-,2023-01-05,,,
물오징어,연근해(신선 냉장)(1마리),中,1마리,당일 (01/05),"6,829",1일전 (01/04),"7,189",1주일전 (12/29),"7,049",2주일전 (12/22),"7,212",1개월전,"7,252",1년전,-,일평년,-,2023-01-05,,,
물오징어,연근해(냉동)(1마리),中,1마리,당일 (01/05),"4,689",1일전 (01/04),"4,617",1주일전 (12/29),"4,716",2주일전 (12/22),"4,661",1개월전,"4,528",1년전,-,일평년,-,2023-01-05,,,
물오징어,연근해(냉동)(1마리),小,1마리,당일 (01/05),-,1일전 (01/04),"3,569",1주일전 (12/29),-,2주일전 (12/22),"3,615",1개월전,-,1년전,-,일평년,-,2023-01-05,,,
물오징어,원양(냉동)(1마리),中,1마리,당일 (01/05),"4,104",1일전 (01/04),-,1주일전 (12/29),-,2주일전 (12/22),"4,208",1개월전,-,1년전,-,일평년,-,2023-01-05,,,
건멸치,건멸치(100g),중멸,100g,당일 (01/05),"2,604",1일전 (01/04),"2,613",1주일전 (12/29),"2,613",2주일전 (12/22),"2,615",1개월전,"2,572",1년전,"2,778",일평년,"2,698",2023-01-05,,,
건오징어,건오징어(10마리),중품,10마리,당일 (01/05),"67,960",1일전 (01/04),"67,960",1주일전 (12/29),"67,860",2주일전 (12/22),"67,630",1개월전,"65,880",1년전,"63,705",일평년,"55,739",2023-01-05,,,
